restaurant_name,restaurant_id,review_rating,review_text
Santo Mezcal,nYPzsOjvida-ne7swSPHpA,5,"This was my first time here and I was beyond impressed! Our waiter was extremely attentive, the margaritas were fantastic and the enchiladas verdes had the..."
Santo Mezcal,nYPzsOjvida-ne7swSPHpA,5,Santo Mezcal is a beautiful restaurant in the cool area of downtown Santa Barbara. It is right on the edge of the funk zone and is know for killer drinks...
Santo Mezcal,nYPzsOjvida-ne7swSPHpA,5,"Such a delicious dinner location. Thankfully we used yelp to get on the waiting list. 

Service was absolutely incredible.  The food came out really fast..."
Brophy Bros - Santa Barbara,U3grYFIeu6RgAAQgdriHww,5,Excellent setting and view --  fantastic food and service. It's never a disappointment!
Brophy Bros - Santa Barbara,U3grYFIeu6RgAAQgdriHww,5,Amazing place! This bar/restaurant is located at the Santa Barbara Harbor. I had several friends recommend it and It seems to be booked all the time! I made...
Brophy Bros - Santa Barbara,U3grYFIeu6RgAAQgdriHww,3,"LOCATION WAS DISAPPOINTING
I finished a beach stroll with my wife.
We ordered Brophy Bros (BB) online for pickup.
I immediately got bait shop vibes versus..."
Buena Onda,vyOVT4bcW227LRwJGHTeSw,5,"If you're a foodie, you NEED to visit this spot to get some empanadas.

Each empanada I tried was quality, with flavorful fillings and a fresh pastry crust...."
Buena Onda,vyOVT4bcW227LRwJGHTeSw,4,"Cute location with outdoor seating space. There's two parking spaces, very limited and street parking. 

I had called in the order, thinking we be there at..."
Buena Onda,vyOVT4bcW227LRwJGHTeSw,4,"Pretty stoked to come here because they offered two different flavors of an ""empanada"" that was gluten free. Fun!

Space:
The vibe was super fun and loudish..."
Los Agaves,yPSejq3_erxo9zdVYTBnZA,5,"Spent a week eating our way through San Diego, then back up the coast via Santa Barbara.  So glad we made it to Los Agaves - it was almost closing time, but..."
Los Agaves,yPSejq3_erxo9zdVYTBnZA,5,"I wanted to visit Flor de Maíz off the beach, but since we were a party of eight and running a bit late on our schedule, we decided for the next best..."
Los Agaves,yPSejq3_erxo9zdVYTBnZA,5,"OMG! This place is awesome.  I've been there many times but this time I was really impressed with the food and I decided to put my review.

First of it is a..."
Oku,Y57sylYCgq2VQJuBCnjPfA,5,Delicious! Great service. Professional. Friendly. Great ambiance. Thumbs up. 5 stars!!!!!
Oku,Y57sylYCgq2VQJuBCnjPfA,5,I was in Santa Barbara a few weekends ago for the Santa Barbara Half Marathon....ok ok 5 K for me.   Anywho I had picked up my registration packet and...
Oku,Y57sylYCgq2VQJuBCnjPfA,4,Great location right by the water and I love the heated lamps for outdoor seating. We stumbled upon here on a Sunday night and lucked out in getting seated...
Reunion Kitchen + Drink,304FY8qhcOpm9SIkrzmhoQ,5,"What a great spot! We were seated at a scenic beachside table right upon arrival. Our server, Kevin, introduced himself and was nothing but polite and..."
Reunion Kitchen + Drink,304FY8qhcOpm9SIkrzmhoQ,3,"Great location and dog friendly patio, though it would be nice if they provided umbrellas that angled to block the sun. The thick glass enclosure prevents..."
Reunion Kitchen + Drink,304FY8qhcOpm9SIkrzmhoQ,1,"Tried to place an order over the phone. The robot said to say ""speak to a person"" in order to place an order. Robot couldn't understand my basic white male..."
"The Black Sheep ""SB Brasserie""",8Vo6LN9gqULhXzoxj5k6kQ,3,"I still LOVE this place and am mostly giving it an OK rating as they have changed, not for the better, my two FAV dishes.  first the duck confit salad now..."
"The Black Sheep ""SB Brasserie""",8Vo6LN9gqULhXzoxj5k6kQ,5,"Absolutely LOVED this place!
My son turned 20 and we came to Santa Barbara to celebrate his birthday (of course he coudn't visit us b/c he was having a..."
"The Black Sheep ""SB Brasserie""",8Vo6LN9gqULhXzoxj5k6kQ,3,I have such mixed feelings about this place! Some of the dishes are mind blowing and others are a hard pass.  They also charged $15 for my husband's Diet...
Santa Barbara Shellfish Company,SZU9c8V2GuREDN5KgyHFJw,5,This food is so fresh and so good. The have a delicious special every day. Always something fresh and local. We had uni over raw scallops on a lime slice....
Santa Barbara Shellfish Company,SZU9c8V2GuREDN5KgyHFJw,5,This was my second time here and everything was delicious. I made the trip to Santa Barbara just for the SB Shellfish Company's uni special. It's just that...
Santa Barbara Shellfish Company,SZU9c8V2GuREDN5KgyHFJw,5,"Came here hung over and it was on point. The fried seafood plate just hit. Although it was fried, it wasn't greasy. 

Fresh oysters 10/10 

Chowder bowl..."
Lure Fish House,3Wy21heeDm8h2tSZfcj6OA,5,"I want to seriously compliment Danyelle, a bartender at the Santa Barbara Lure. 

Danyelle is extremely competent re her job, is very knowledgeable about..."
Lure Fish House,3Wy21heeDm8h2tSZfcj6OA,5,My and I had a wonderful meal superb service at Lures Fish House. When we returned home the next day I realized I left my credit card at the restaurant. I...
Lure Fish House,3Wy21heeDm8h2tSZfcj6OA,5,"Huge fan of this restaurant and happy to have tried another location outside of Camarillo!

Food's just as great as the other location and I was one happy..."
Boathouse at Hendry's Beach,skY6r8WAkYqpV7_TxNm23w,5,"In spite of my numerous day train trips to Santa Barbara, to discover and savor restaurants, there still remained unfinished business.  I had not visited..."
Boathouse at Hendry's Beach,skY6r8WAkYqpV7_TxNm23w,5,"Food: Excellent, I ordered the chilaquiles breakfast, and it was untraditional and delicious! The bloody Mary was nice and spicy like I ordered it. The..."
Boathouse at Hendry's Beach,skY6r8WAkYqpV7_TxNm23w,4,Great views. Solid food. Fun drinks good service. We enjoyed letting our dog play at the dog park and then grabbing a bite next door. Indoor / outdoor...
Loquita,KSYONgGtrK0nKXfroB-bwg,5,"During my visit with the wife, we wanted to order all of the tapas- exploring more of the small plates but figured we had to try the infamous paella. Any of..."
Loquita,KSYONgGtrK0nKXfroB-bwg,4,"Loquita was one of the restaurants I was really looking forward to trying during my time in Santa Barbara. It is a really cute, small Spanish tapas spot in..."
Loquita,KSYONgGtrK0nKXfroB-bwg,3,"Hmmm, saw the positive reviews and was able to snag a reservation for an 8pm patio seating. The patio was actually really cute and it wasn't super cold when..."
Finch & Fork,-FM4CxOg4XXmX_Ebky_SiQ,5,"This place makes me happy.

Great location near Paseo Nuevo.
In the Kimpton Canary Hotel, downstairs.

Top notch stuff.
I love this restaurant.

It is not..."
Finch & Fork,-FM4CxOg4XXmX_Ebky_SiQ,4,The yelp page says $$ but I think this place is closer to $$$ but that's just my opinion. Regardless the food and drinks were really good. Service was...
Finch & Fork,-FM4CxOg4XXmX_Ebky_SiQ,4,My boyfriend and I were looking for a place to have Thanksgiving dinner. We tried many places but this was one of the few places that had availability when...
Secret Bao,q36uZc2hQml10YGHazJaoQ,5,"Minimalistic ambiance, not too loud, very trendy yet approachable dinner spot! The service was 5/5; knowledgable, friendly, forward thinking staff really..."
Secret Bao,q36uZc2hQml10YGHazJaoQ,5,"This place was very impressive, from the ambiance to the
food & customer service! 10++ for every category! The food
had the most impeccable flavor wow!! I..."
Secret Bao,q36uZc2hQml10YGHazJaoQ,4,"Started out as a pop up, now a brick-and-mortar 
Secret Bao has tasty entrees, I'm a big supporter! 
Adding a modern twist to traditional Asian cuisine
It's..."
Three Monkeys,FhGmQb5cCGXmbrPHBg0WZw,5,"I absolutely love this place! 

I've gone twice now, the first time I grabbed a ban Mihir sandwich and that was loaded!

The second time I went I tried..."
Three Monkeys,FhGmQb5cCGXmbrPHBg0WZw,3,"My friend and I decided to try this place after discovering them on IG (the pics looked incredible). Located inside the SB Public Market, it's situated..."
Three Monkeys,FhGmQb5cCGXmbrPHBg0WZw,2,"I had high hopes for Three Monkeys, but I am sad to say the food did not rise to the occasion. Three Monkeys, associated with the adjacent Empty Bowl..."
The Lark,oGDGlUbOjHxmmCh8ZYcDCg,5,Best restaurant in sb for the food. Plan to share meals. Steak was amazing. Options change with seasons. Cool atmosphere and bar. Great service.
The Lark,oGDGlUbOjHxmmCh8ZYcDCg,5,"Came here for a birthday and it did not disappoint. From service to food, The Lark hit all the spots! Came here for an 8:30 reso and got sat immediately...."
The Lark,oGDGlUbOjHxmmCh8ZYcDCg,5,"Long overdue review. 

I was visiting Santa Barbara with my family and read great things about The Lark, so we had to come! I had made a reservation and we..."
Toma Restaurant & Bar,6EizP0XyqITuGZ8GZMI9Lw,5,"Found this on Yelp as we were looking for a nice place to take my son before dropping him off at UCSB and this was a treat! The mushroom risotto, roasted..."
Toma Restaurant & Bar,6EizP0XyqITuGZ8GZMI9Lw,1,"We walked in earlier than our scheduled reservation. The hostess told us that our wait time would be 45 minutes to an hour.  However, this was not a problem..."
Toma Restaurant & Bar,6EizP0XyqITuGZ8GZMI9Lw,4,"Everything we had was delicious! We ordered two salads and the crispy artichokes as starters. The gnocchi, our main meal, was so flavorful. The cocktail I..."
Saint Bibiana,SKLhc-UyC-x3EODGU0tZtg,5,"Let me preface by saying I'm a sick human being who does not really enjoy pizza. I'll eat it, but you'll never catch me going out of my way for it. But this..."
Saint Bibiana,SKLhc-UyC-x3EODGU0tZtg,4,"Came here for dinner and ordered 2 pizzas for 3 people and had plenty left over. 

The place itself is small and cute, and the pizza is decent. The lemon..."
Saint Bibiana,SKLhc-UyC-x3EODGU0tZtg,5,"We always go to another place in Montecito when we visit the area, but it's hard to get in. 
St. Bibiana was recommended by a local friend. I will only ever..."
Finney's Crafthouse - Santa Barbara,EZc2myE2mYk2h9JK9qu8gw,5,"I highly recommend the Carnitas Nachos if you come here! Overall, the restaurant has good service and our server was very kind and did a good job at..."
Finney's Crafthouse - Santa Barbara,EZc2myE2mYk2h9JK9qu8gw,5,Had such a great time here!! I come here often because the service is great and  workers are so friendly. Also a go-to to watch games. My most recent visit...
Finney's Crafthouse - Santa Barbara,EZc2myE2mYk2h9JK9qu8gw,5,"Visiting Finney's while waiting for our train back to LA, the service is amazing to start. Our server was the best to be honest! 

The pepperoni pizza is..."
Bouchon,tthy48ZIX_wfY8Dy0Dvg6w,4,"It was really yummy, me and my mother enjoyed how rich the food was. I think our server was Christian, he was great with the timing. And I think it was the..."
Bouchon,tthy48ZIX_wfY8Dy0Dvg6w,5,"Amazing service, food and very personable. We wen't to Bouchon last night for our 25th wedding anniversary. The owner was the first to greet us and..."
Bouchon,tthy48ZIX_wfY8Dy0Dvg6w,5,I called today because my dad was celebrating his birthday there and I wanted to surprise him with something at his table. I've done this for a few...
The Shop Kitchen,SYHDOHRNAH-2xsw3XB5qbg,5,"Finished a weekend trip to Santa Barbara with a visit to this breakfast place. At about 9 am on a Monday, it was pretty empty so we quickly ordered and..."
The Shop Kitchen,SYHDOHRNAH-2xsw3XB5qbg,1,"The food was California, I had the egg Benedict's the serve it on a biscuit the potatoes are laughable and looks like potatoes slices and not country..."
The Shop Kitchen,SYHDOHRNAH-2xsw3XB5qbg,3,"This is more like you need to pay for the food upfront and then go get your place and they'll serve you. What got me really upset was, we were hungry and it..."
The Daisy Restaurant,fiQxkb1pfPpvrr0oYYYBcA,5,"Still favorite when I am out in Santa Barbara. I love their plant forward menu, but every bite still packs a punch.

I live for the pickled plate. The..."
The Daisy Restaurant,fiQxkb1pfPpvrr0oYYYBcA,5,The Daisey is a must-visit for anyone looking to indulge in a culinary adventure. From the mouthwatering Marry's Tarragon Chicken Sandwich to the refreshing...
The Daisy Restaurant,fiQxkb1pfPpvrr0oYYYBcA,4,"Food: have to order before to get a table. Food looks good we got 2 sandwiches BLT and BBQ sandwiches. It's a lot of to eat. Taste was ok, nothing special...."
Cold Spring Tavern,0qu0fNTOsSmuREYVIMPuIQ,5,"The atmosphere of this historic statgecoach stop is always worth the trip up Highway 154. 

The food is amazing and the tri tip and live music on Sundays..."
Cold Spring Tavern,0qu0fNTOsSmuREYVIMPuIQ,4,Stopped by here on the way to Santa Barbara for a weekend getaway and we had an interesting experience just getting here. We came after normal lunch hours...
Cold Spring Tavern,0qu0fNTOsSmuREYVIMPuIQ,5,"My sister suggested eating here on our way home from Solvang. She said she had eyed this place for a while.

This place is definitely off the beaten track..."
The Blue Owl,bp482wqF6v80AltDNlPDfw,5,"Bottom Line:  A cool little spot to have some food, a drink and listen to some music

I have been down here a few times now so I figured it best to actually..."
The Blue Owl,bp482wqF6v80AltDNlPDfw,4,"In the heart of Santa Barbara, on a Friday night, we found ourselves at The Blue Owl. The place was alive with energy, not too crowded, with music playing..."
The Blue Owl,bp482wqF6v80AltDNlPDfw,1,"We wanted to like this place and had difficulty deciding what to order because so many things sounded delicious. Unfortunately, I will not be back because..."
Shalhoob's Funk Zone Patio,eikRexw04kC6siBDkFnayQ,5,"After wandering around Santa Barbara and finding that most restaurants had a 40 -50 minute wait for dinner, my friend and I came here and got seated..."
Shalhoob's Funk Zone Patio,eikRexw04kC6siBDkFnayQ,5,Shalhoob's Funk Zone Patio was such a fun place to stop by and eat. I was staying nearby and this was highly recommended and one of the more popular places...
Shalhoob's Funk Zone Patio,eikRexw04kC6siBDkFnayQ,5,Had a really fun and delicious time here! Originally tried to make a reservation for two with my boyfriend but realized why that didn't work. You can either...
Lao Thai Restaurant,4Uy9WOjS_AIMKn0zhDgnDA,5,"Food is really good and the service was excellent! 
We actually enjoy out time there ! We are coming back definitely when we visit Santa Barbara. 
Red curry..."
